#;Язык программирования;Рейтинг;Изменение рейтинга
1;Java;16,66%;-0,78%
2;C;15,20%;-0,24%
3;Python;9,87%;2,22%
4;C++;5,63%;-1,76%
6;C#;3,40%;0,10%
5;Visual Basic .NET;3,29%;-2,02%
8;JavaScript;2,13%;0,00%
9;SQL;1,94%;-0,12%
7;PHP;1,86%;-0,91%
10;Objective-C;1,84%;0,33%
34;Groovy;1,50%;1,20%
14;Assembly language;1,38%;0,15%
11;Delphi/Object Pascal;1,33%;0,04%
16;Go;1,22%;0,14%
12;Ruby;1,21%;-0,08%
15;Swift;1,10%;-0,12%
20;Visual Basic;1,08%;0,40%
13;Matlab;1,06%;-0,21%
18;R;1,05%;0,03%
17;Perl;1,05%;-0,02%
